symbol,tanggal,persentil
AADI.JK,2026-09-20,47.368421052631575
AMMN.JK,2026-09-20,5.263157894736842
ASII.JK,2026-09-20,60.526315789473685
BBCA.JK,2026-09-20,94.73684210526316
BELI.JK,2026-09-20,100.0
BRPT.JK,2026-09-20,34.21052631578947
IMPC.JK,2026-09-20,26.31578947368421
INET.JK,2026-09-20,89.47368421052632
LUCY.JK,2026-09-20,68.42105263157895
MDIA.JK,2026-09-20,73.68421052631578
MGLV.JK,2026-09-20,10.526315789473683
MINA.JK,2026-09-20,15.789473684210526
MLPT.JK,2026-09-20,81.57894736842105
PACK.JK,2026-09-20,52.63157894736842
SOHO.JK,2026-09-20,42.10526315789473
SRAJ.JK,2026-09-20,21.052631578947366
TLKM.JK,2026-09-20,60.526315789473685
TPIA.JK,2026-09-20,34.21052631578947
UDNG.JK,2026-09-20,81.57894736842105
AADI.JK,2026-09-22,52.63157894736842
AMMN.JK,2026-09-22,5.263157894736842
ASII.JK,2026-09-22,57.89473684210527
BBCA.JK,2026-09-22,94.73684210526316
BELI.JK,2026-09-22,100.0
BRPT.JK,2026-09-22,34.21052631578947
IMPC.JK,2026-09-22,26.31578947368421
INET.JK,2026-09-22,89.47368421052632
LUCY.JK,2026-09-22,68.42105263157895
MDIA.JK,2026-09-22,73.68421052631578
MGLV.JK,2026-09-22,10.526315789473683
MINA.JK,2026-09-22,21.052631578947366
MLPT.JK,2026-09-22,78.94736842105263
PACK.JK,2026-09-22,63.1578947368421
SOHO.JK,2026-09-22,42.10526315789473
SRAJ.JK,2026-09-22,15.789473684210526
TLKM.JK,2026-09-22,47.368421052631575
TPIA.JK,2026-09-22,34.21052631578947
UDNG.JK,2026-09-22,84.21052631578947
AADI.JK,2026-09-24,27.27272727272727
AALI.JK,2026-09-24,59.09090909090909
ABBA.JK,2026-09-24,100.0
ABDA.JK,2026-09-24,11.363636363636363
AMMN.JK,2026-09-24,4.545454545454546
ASII.JK,2026-09-24,31.818181818181817
BBCA.JK,2026-09-24,86.36363636363636
BELI.JK,2026-09-24,95.45454545454545
BRPT.JK,2026-09-24,22.727272727272727
IMPC.JK,2026-09-24,63.63636363636363
INET.JK,2026-09-24,45.45454545454545
LUCY.JK,2026-09-24,77.27272727272727
MDIA.JK,2026-09-24,72.72727272727273
MGLV.JK,2026-09-24,11.363636363636363
MINA.JK,2026-09-24,36.36363636363637
MLPT.JK,2026-09-24,90.9090909090909
PACK.JK,2026-09-24,40.909090909090914
SOHO.JK,2026-09-24,18.181818181818183
SRAJ.JK,2026-09-24,68.18181818181817
TLKM.JK,2026-09-24,50.0
TPIA.JK,2026-09-24,54.54545454545454
UDNG.JK,2026-09-24,81.81818181818183
