symbol,event_date,reason,pdf_url,fetched_at,raw_response
MERI.JK,2025-07-18,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham MERI.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250717-WAS_Suspensi_MERI.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham MERI.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'MERI.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250717-WAS_Suspensi_MERI.pdf', 'suspension_date': '2025-07-18'}"
MFIN.JK,2025-07-18,Terjadinya penurunan harga kumulatif yang signifikan pada saham MFIN.JK,https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250717-WAS_Suspensi_MFIN.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya penurunan harga kumulatif yang signifikan pada saham MFIN.JK', 'symbol': 'MFIN.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250717-WAS_Suspensi_MFIN.pdf', 'suspension_date': '2025-07-18'}"
NRCA.JK,2025-07-18,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham NRCA.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250717-WAS_Suspensi_NRCA.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham NRCA.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'NRCA.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250717-WAS_Suspensi_NRCA.pdf', 'suspension_date': '2025-07-18'}"
CDIA.JK,2025-07-17,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham CDIA.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250716-WAS_Suspensi_CDIA.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham CDIA.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'CDIA.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250716-WAS_Suspensi_CDIA.pdf', 'suspension_date': '2025-07-17'}"
COIN.JK,2025-07-17,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham COIN.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250716-WAS_Suspensi_COIN.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham COIN.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'COIN.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250716-WAS_Suspensi_COIN.pdf', 'suspension_date': '2025-07-17'}"
HDTX.JK,2025-07-17,Dalam rangka pengalihan saham hasil pelaksanaan pembelian kembali saham (buyback) dalam rangka delisting perseroan,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/a70f2d9ebe_3d8a70f2a5.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Dalam rangka pengalihan saham hasil pelaksanaan pembelian kembali saham (buyback) dalam rangka delisting perseroan', 'symbol': 'HDTX.JK', 'pdf_url': 'https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/a70f2d9ebe_3d8a70f2a5.pdf', 'suspension_date': '2025-07-17'}"
CSMI.JK,2025-07-16,Dalam rangka cooling down sebagai bentuk perlindungan bagi investor,https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250715-WAS_Suspensi_CSMI.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'CSMI.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250715-WAS_Suspensi_CSMI.pdf', 'suspension_date': '2025-07-16'}"
ASPI.JK,2025-07-15,Terjadinya peningkatan harga kumulatif yang signifikan pada saham ASPI.JK,https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250714-WAS_Suspensi_ASPI.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham ASPI.JK', 'symbol': 'ASPI.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250714-WAS_Suspensi_ASPI.pdf', 'suspension_date': '2025-07-15'}"
MFIN.JK,2025-07-15,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham MFIN.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250714-WAS_Suspensi_MFIN.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham MFIN.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'MFIN.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250714-WAS_Suspensi_MFIN.pdf', 'suspension_date': '2025-07-15'}"
LABA.JK,2025-07-11,Terjadinya peningkatan harga kumulatif yang signifikan pada saham LABA.JK,https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250710-WAS_Suspensi_LABA.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham LABA.JK', 'symbol': 'LABA.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250710-WAS_Suspensi_LABA.pdf', 'suspension_date': '2025-07-11'}"
POOL.JK,2020-06-10,Suspend more than 6 month,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/fed47be7bc_96225a718f.pdf,2026-09-11T07:54:15.831245+00:00,"{'reason': 'Suspend more than 6 month', 'symbol': 'POOL.JK', 'pdf_url': 'https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/fed47be7bc_96225a718f.pdf', 'suspension_date': '2020-06-10'}"
MTSM.JK,2025-07-11,Efek Perseroan telah berada dalam papan pemantauan khusus selama lebih dari 1 (satu) tahun berturut-turut,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/516660497d_fbc40c7f52.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Efek Perseroan telah berada dalam papan pemantauan khusus selama lebih dari 1 (satu) tahun berturut-turut', 'symbol': 'MTSM.JK', 'pdf_url': 'https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202507/516660497d_fbc40c7f52.pdf', 'suspension_date': '2025-07-11'}"
LABA.JK,2025-07-09,"Terjadinya peningkatan harga kumulatif yang signifikan pada saham LABA.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor",https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250708-WAS_Suspensi_LABA.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya peningkatan harga kumulatif yang signifikan pada saham LABA.JK, dalam rangka cooling down sebagai bentuk perlindungan bagi investor', 'symbol': 'LABA.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250708-WAS_Suspensi_LABA.pdf', 'suspension_date': '2025-07-09'}"
DKHH.JK,2025-07-07,Terjadinya penurunan harga kumulatif yang signifikan pada saham DKHH.JK,https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250704-WAS_Suspensi_DKHH.pdf,2026-09-11T07:54:15.210333+00:00,"{'reason': 'Terjadinya penurunan harga kumulatif yang signifikan pada saham DKHH.JK', 'symbol': 'DKHH.JK', 'pdf_url': 'https://www.idx.co.id/Portals/0/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/2025/JUL/20250704-WAS_Suspensi_DKHH.pdf', 'suspension_date': '2025-07-07'}"
