symbol,snapshot_date,free_float,sub_sector,fetched_at,raw_response
GAMA.JK,2026-09-03,0.69,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'GAMA.JK', 'free_float': 0.69, 'company_name': 'Aksara Global Development Tbk'}"
BHAT.JK,2026-09-03,0.689,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'BHAT.JK', 'free_float': 0.689, 'company_name': 'PT Bhakti Multi Artha Tbk.'}"
TARA.JK,2026-09-03,0.68588,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'TARA.JK', 'free_float': 0.68588, 'company_name': 'PT Agung Semesta Sejahtera Tbk'}"
KRYA.JK,2026-09-03,0.6821,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'KRYA.JK', 'free_float': 0.6821, 'company_name': 'PT Bangun Karya Perkasa Jaya Tbk'}"
DEWA.JK,2026-09-03,0.6783,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'DEWA.JK', 'free_float': 0.6783, 'company_name': 'Darma Henwa Tbk'}"
STAR.JK,2026-09-03,0.6781,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'STAR.JK', 'free_float': 0.6781, 'company_name': 'PT Calculus Global Ventures Tbk'}"
KIJA.JK,2026-09-03,0.67387,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'KIJA.JK', 'free_float': 0.67387, 'company_name': 'Kawasan Industri Jababeka Tbk'}"
SUGI.JK,2026-09-03,0.6623,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'SUGI.JK', 'free_float': 0.6623, 'company_name': 'Sugih Energy Tbk'}"
MKNT.JK,2026-09-03,0.66106,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'MKNT.JK', 'free_float': 0.66106, 'company_name': 'PT Mitra Komunikasi Nusantara Tbk'}"
POOL.JK,2026-09-03,0.6579,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'POOL.JK', 'free_float': 0.6579, 'company_name': 'Pool Advista Indonesia Tbk'}"
HOME.JK,2026-09-03,0.6576,,2026-09-03T13:07:57.784854+00:00,"{'symbol': 'HOME.JK', 'free_float': 0.6576, 'company_name': 'Hotel Mandarine Regency Tbk'}"
